circuit,num_qubits,routing,seed,optimization_level,topology,mode,depth,transpile_time,total_gates,one_qubit_gates,two_qubit_gates,fidelity,success_prob
ghz,5,sabre,11,1,linear,noisy,8,0.0010277999972458929,7,3,4,0.8825675320650527,0.882568359375
ghz,5,sabre,22,1,linear,noisy,8,0.0010256999812554568,7,3,4,0.8746882436168026,0.874755859375
ghz,5,sabre,33,1,linear,noisy,8,0.0009468999924138188,7,3,4,0.8820677628052839,0.882080078125
ghz,5,basic,11,1,linear,noisy,8,0.0010167000000365078,7,3,4,0.8825675320650527,0.882568359375
ghz,5,basic,22,1,linear,noisy,8,0.0010605999850668013,7,3,4,0.8746882436168026,0.874755859375
ghz,5,basic,33,1,linear,noisy,8,0.0009423000155948102,7,3,4,0.8820677628052839,0.882080078125
ghz,5,lookahead,11,1,linear,noisy,8,0.0010817000002134591,7,3,4,0.8825675320650527,0.882568359375
ghz,5,lookahead,22,1,linear,noisy,8,0.0009622999932616949,7,3,4,0.8746882436168026,0.874755859375
ghz,5,lookahead,33,1,linear,noisy,8,0.00122819998068735,7,3,4,0.8820677628052839,0.882080078125
ghz,8,sabre,11,1,linear,noisy,11,0.0011195999977644533,10,3,7,0.8000483624918616,0.800048828125
ghz,8,sabre,22,1,linear,noisy,11,0.001070300000719726,10,3,7,0.8053754982637732,0.805419921875
ghz,8,sabre,33,1,linear,noisy,11,0.0011507000017445534,10,3,7,0.8137176083213286,0.813720703125
ghz,8,basic,11,1,linear,noisy,11,0.001024700002744794,10,3,7,0.8000483624918616,0.800048828125
ghz,8,basic,22,1,linear,noisy,11,0.0010407999798189849,10,3,7,0.8053754982637732,0.805419921875
ghz,8,basic,33,1,linear,noisy,11,0.0011359999771229923,10,3,7,0.8137176083213286,0.813720703125
ghz,8,lookahead,11,1,linear,noisy,11,0.001037600013660267,10,3,7,0.8000483624918616,0.800048828125
ghz,8,lookahead,22,1,linear,noisy,11,0.0011814000026788563,10,3,7,0.8053754982637732,0.805419921875
ghz,8,lookahead,33,1,linear,noisy,11,0.0010654000216163695,10,3,7,0.8137176083213286,0.813720703125
ghz,10,sabre,11,1,linear,noisy,13,0.0012960000021848828,12,3,9,0.7678206936511437,0.767822265625
ghz,10,sabre,22,1,linear,noisy,13,0.001193600008264184,12,3,9,0.7631179059894815,0.76318359375
ghz,10,sabre,33,1,linear,noisy,13,0.001150299998698756,12,3,9,0.7678166569480508,0.767822265625
ghz,10,basic,11,1,linear,noisy,13,0.0011569999915082008,12,3,9,0.7678206936511437,0.767822265625
ghz,10,basic,22,1,linear,noisy,13,0.0011590999783948064,12,3,9,0.7631179059894815,0.76318359375
ghz,10,basic,33,1,linear,noisy,13,0.0010806999925989658,12,3,9,0.7678166569480508,0.767822265625
ghz,10,lookahead,11,1,linear,noisy,13,0.0013839999737683684,12,3,9,0.7678206936511437,0.767822265625
